"tree.no","spp","status","dbh","x.coord","y.coord","crown.class"
357,"L. dentata",1,5.5,60.5994411351567,28.3931923273681,3
358,"A. punctatum",1,8.7,48.215409546419,31.8316020588929,3
359,"A. punctatum",1,31.2,56.6540257862138,27.5926064493785,1
360,"A. punctatum",1,55.7,56.5463998168529,32.1505693432152,1
361,"A. punctatum",1,36.5,51.7923645799931,26.107277409837,1
362,"A. punctatum",1,27.3,50.9502657912011,32.8931979256787,2
363,"A. punctatum",1,39.6,61.0601423364763,25.1877787372315,2
364,"A. punctatum",1,29.9,53.4816320142602,33.7019385363078,2
365,"A. punctatum",1,39.2,53.2774661679321,29.9145172770453,1
366,"A. punctatum",1,14.4,62.3439464271493,25.5538308343401,3
367,"A. punctatum",1,37.9,53.9124581038185,36.3506951886886,2
368,"A. punctatum",1,48.8,51.4246741102716,29.7000492153449,1
369,"A. punctatum",1,18.7,52.5927316709284,37.5600016603206,3
370,"A. punctatum",1,14.5,60.5966783587057,28.6599035305737,2
371,"L. sempervirens",1,87.7,50.0491248589334,39.8907878765947,1
372,"A. punctatum",1,33,60.257558300327,30.3644878658908,1
373,"A. punctatum",1,33,57.252000462109,35.7705086906734,1
374,"A. punctatum",1,45.2,53.2235947086125,40.1149123446517,1
375,"A. punctatum",1,16.3,62.0008321165924,30.1708365211147,2
376,"A. punctatum",1,48.6,56.3878139331736,44.2927367626588,1
377,"L. dentata",1,14.4,57.5774009869941,36.1795932166126,3
378,"A. punctatum",1,55.2,63.2964608307709,28.6888883668733,1
379,"A. punctatum",1,50.1,59.8954941987306,45.5283289984599,1
380,"A. punctatum",1,35,56.4727536394131,40.7184992690247,1
381,"A. punctatum",1,8.3,62.050734834404,44.1125514492962,3
382,"A. punctatum",1,24.1,60.0788146281393,32.0651203069705,2
383,"A. punctatum",1,12.4,60.7534988257833,33.2582911802641,2
384,"G. avellana",1,44.4,69.6397576229601,41.7305974424385,1
385,"A. punctatum",1,56.8,71.0753419547409,38.3749197122923,1
386,"A. punctatum",1,31.7,70.1179862346149,36.8577857630821,2
387,"A. punctatum",1,67.3,61.0878834773187,34.4809396684498,1
388,"A. punctatum",1,35,59.6053006895368,36.5703044929888,1
389,"A. punctatum",1,17.4,72.1618770900997,41.5698408690382,1
390,"A. punctatum",1,21.2,57.4365972588373,41.4976140788095,2
391,"A. punctatum",1,6.7,58.5172490442277,41.6797799958776,3
392,"A. punctatum",1,36.3,72.7139018201279,42.8119407893344,1
393,"N. obliqua",2,48.7,64.415565239102,28.6961957932216,3
394,"L. dentata",1,10.8,58.2880561857528,37.6524261249911,3
395,"A. punctatum",1,24,72.7766001359707,38.1820635561834,2
396,"A. punctatum",1,48.2,67.9292284871849,30.6537073064003,1
397,"L. dentata",1,14.5,74.9646574132674,40.1852264919757,3
398,"A. punctatum",1,33.5,55.7626804935727,47.8380446735027,2
399,"A. punctatum",1,17.7,67.9081500259417,32.830632538688,2
400,"A. punctatum",1,36.6,70.6833457736168,46.707347363428,1
401,"L. philippiana",1,5.9,76.9987955718586,37.1397909565738,3
402,"N. obliqua",1,86.8,56.9579474199948,48.8372050946388,1
403,"L. philippiana",1,7.1,76.3402335660553,36.3421528585259,3
404,"L. philippiana",1,6.3,75.4396911228376,41.4894592754577,3
405,"L. dentata",1,7.7,73.9486333463172,42.6794520071658,3
406,"L. philippiana",1,5.4,72.202829426033,35.5420634130565,3
407,"L. dentata",1,5.5,74.9282123500714,44.8480760082751,3
408,"N. obliqua",2,93.6,72.5233847476704,46.0518365867345,1
409,"A. punctatum",1,22.9,77.1209187101101,37.8619678829042,2
410,"P. lingue",1,57.75,77.3354433529969,38.9043286767547,1
411,"L. dentata",1,15.4,78.6650305771518,37.3889475906958,2
412,"A. punctatum",1,85.3,74.5795854329207,45.8609008740981,1
413,"L. philippiana",1,5.5,79.0172871290981,41.8433716341202,3
414,"L. philippiana",1,7.2,79.9543922953625,40.3590850720767,3
415,"L. philippiana",2,6.2,81.6218376440507,39.27683619109,3
416,"A. punctatum",1,40.9,79.8044607077707,41.9712083018939,1
417,"L. philippiana",1,6.5,81.4913453891704,41.3165237238841,3
418,"L. philippiana",1,9.3,78.8170014804515,46.6739452622311,3
419,"L. philippiana",1,7.5,78.5198209906081,40.018092542774,3
420,"L. philippiana",1,5.1,82.4143973890093,44.5303565933342,3
421,"L. philippiana",1,5.8,79.3650220792759,47.6061963680777,3
422,"L. philippiana",2,10.5,84.7016588604935,42.2031949008247,3
423,"A. punctatum",1,61.85,65.475863445466,56.9849278722256,1
424,"L. philippiana",1,5.6,77.9714368387706,49.0367087577731,3
425,"L. philippiana",1,5.6,84.2309404158899,43.7428455579252,3
426,"A. punctatum",1,26.4,70.3429393806301,51.4461270300187,2
427,"A. punctatum",1,28.8,85.5049770221653,45.7803957675434,1
428,"L. philippiana",1,10,72.9350405419777,54.7044285753882,3
429,"A. punctatum",1,26.3,81.1819416966709,47.5807914748589,2
430,"L. philippiana",1,5.2,72.8436792362365,56.639734877206,3
431,"A. punctatum",1,34.7,86.4388875539242,47.0196403930471,1
432,"A. punctatum",1,12.2,82.6986448218964,47.5585203344293,3
433,"N. obliqua",2,87.4,70.7992471998207,56.6578852809326,3
434,"A. punctatum",1,16.4,85.8222763243281,47.6976102261311,2
435,"L. philippiana",1,7.8,81.5924879089907,45.694378410366,3
436,"G. avellana",1,51.6,76.1394877745437,54.3996159559437,1
437,"L. philippiana",1,7,84.5523164864168,49.0071317721713,3
438,"L. philippiana",1,6.6,81.5439945303467,48.1507302783058,3
439,"A. punctatum",2,15.3,74.8132949812244,56.187488014693,3
440,"L. philippiana",1,10.2,82.2619412049822,50.3805072517974,3
441,"L. dentata",1,6.2,81.8427948451729,48.9698249095996,3
442,"A. punctatum",1,51.6,75.9801230957972,54.994632564145,1
443,"L. philippiana",1,8.8,81.667226525382,51.5801748482906,3
444,"P. lingue",1,11,3.55095601098595,38.0316729417999,3
445,"A. punctatum",1,49.05,78.5761759016346,54.4441645521042,1
446,"L. dentata",1,10.8,81.276439790506,55.0169268792757,3
447,"A. punctatum",1,39.7,69.6760370669435,59.9199243667503,1
448,"A. punctatum",2,15,76.7760370669435,59.9199243667503,3
449,"A. punctatum",1,33.7,77.6483066614317,57.1388924925623,1
450,"A. punctatum",1,20.4,70.6377206511073,59.2712605987242,2
451,"A. punctatum",1,48.5,76.9646135370717,59.1244815013209,1
452,"L. dentata",1,16.8,80.0228343181284,58.7028200218707,3
453,"A. punctatum",1,11,80.4988816021814,61.0732574458795,3
454,"A. punctatum",2,20.2,70.4100126580589,65.245476146155,3
455,"L. philippiana",1,9.6,78.8934329054469,61.3316951502505,3
456,"A. punctatum",1,54.2,70.4081453060238,68.2879598307209,2
457,"L. philippiana",1,5.3,73.7655499776047,61.9145130846406,3
458,"A. punctatum",1,45.6,78.4603927123235,63.0685245002846,1
459,"A. punctatum",1,55.5,69.0482823069807,69.4834918401407,1
460,"A. punctatum",1,37.4,72.4672805494202,66.3393448874461,1
461,"L. dentata",1,29.6,79.8405003165887,64.6514654478768,2
462,"P. lingue",2,15,73.1834692997656,74.5795824952141,2
463,"P. lingue",1,9.7,70.843263886223,64.7817739687386,2
464,"A. punctatum",1,76.55,87.75,66.02,1
465,"A. punctatum",1,55.9,74.902370811886,76.6029551043162,1
466,"G. avellana",1,5.7,72.9752751974209,64.811246044825,3
467,"A. punctatum",1,48.6,84.3402082227608,70.0786632595658,1
468,"A. punctatum",1,50.5,75.2803437032614,73.8389948616418,1
469,"L. philippiana",1,6.9,72.6179874920148,73.7607129171336,3
470,"A. punctatum",2,37.15,84.847531492852,70.287778857996,3
471,"A. punctatum",1,63.8,75.1455245963165,73.7732391896234,1
472,"G. avellana",1,22.9,78.7696404119947,69.1281981984196,3
473,"L. philippiana",1,6.2,81.0868501466634,75.9172943024519,3
474,"A. punctatum",1,10.3,75.6697339470209,76.9762455100324,3
475,"N. obliqua",2,91.1,77.9787016512514,69.513964807594,3
476,"A. punctatum",1,55.2,87.1117313320745,71.3102752361677,1
477,"A. punctatum",1,26.4,77.193058455314,78.7713877270518,2
478,"L. philippiana",1,5.2,82.3909720564059,71.132520837052,3
479,"L. dentata",1,11.7,87.9729526083271,69.0229701599526,3
480,"L. philippiana",1,23.7,75.9109537647476,80.9110838539134,2
481,"L. philippiana",1,11.2,84.1551549674509,75.0677069343356,3
482,"L. philippiana",1,7.3,88.8114912530637,70.2717416852804,3
483,"A. punctatum",1,71.7,74.1331147516764,81.1926658909858,1
484,"L. philippiana",1,11,83.4841693351938,77.1486073212799,3
485,"A. punctatum",1,41.2,87.472230119179,73.5211433979354,1
486,"L. philippiana",1,10.7,74.5957137714665,84.4997812201647,3
487,"L. philippiana",1,43.2,85.6270557556416,77.6733542768747,1
488,"A. punctatum",1,13,82.755793534055,78.4160606023277,3
489,"L. philippiana",1,7.4,72.2401766361867,86.4577077553535,3
490,"N. obliqua",1,79.4,86.3804501750561,79.2528785244869,1
491,"A. punctatum",1,25.9,88.0327316397998,82.6241857624244,2
492,"L. philippiana",1,13.5,74.1259355924928,87.8335820122986,2
493,"A. punctatum",1,25.5,89.9709513314538,80.0807587174536,2
494,"L. philippiana",1,8.5,85.4561835822363,84.7760778930954,3
495,"L. philippiana",1,13.6,68.3867056794542,94.5536096498497,2
496,"L. philippiana",1,10.5,93.2714447593917,82.6886016854324,3
497,"L. philippiana",1,18.2,80.4831796199603,85.1501490795827,2
498,"Other",1,8.1,67.9391048012989,99.5839291478686,3
499,"A. punctatum",1,33.8,94.0087433403888,83.2239165983082,1
500,"L. philippiana",1,5.5,82.0068641889971,83.4764014168776,3
501,"A. punctatum",1,59.3,68.8986444868919,99.9,1
502,"L. philippiana",1,15.8,91.4941818700006,86.2913263755489,2
503,"A. punctatum",1,119.6,80.336740185889,88.3839282761224,1
504,"A. punctatum",1,28.9,74.2938378298458,96.5683531513182,2
505,"L. philippiana",1,6.8,89.4733476423991,88.2353049926804,3
506,"A. punctatum",1,46.7,88.7895893799236,93.4477557077435,1
507,"L. philippiana",1,15.4,75.9701567747499,99.0232233674423,3
508,"L. philippiana",1,12,84.5808417403051,87.0478390427688,3
509,"A. punctatum",1,84.35,95.938004610493,91.7085259670593,1
510,"L. philippiana",1,7,74.2478296559786,99.7513032082687,3
511,"A. punctatum",2,65.5,85.3345812620842,91.2072149015878,3
512,"L. philippiana",1,5.7,99.92,83.0834003920042,3
513,"A. punctatum",1,35.6,82.4438067240384,96.3043546582285,2
514,"L. sempervirens",1,99.4,89.7187188781955,93.1577683861737,1
515,"A. punctatum",1,54.7,99.67,85.6217959188621,1
516,"A. punctatum",2,36.9,94.3785339114864,98.5619607539728,3
517,"A. punctatum",1,33.6,99.83,71.2908529183681,2
518,"A. punctatum",1,35.1,98.3315313542557,66.353176667937,2
519,"A. punctatum",1,60.4,94.6884763202898,95.558297917134,1
520,"A. punctatum",1,20,99.7,70.5627376234306,2
521,"L. dentata",1,13.1,97.0105440395064,64.9037314947977,3
522,"A. punctatum",2,38.45,97.9711268666093,96.7644807878974,3
523,"N. obliqua",1,118.55,96.8988408667375,68.9224195951142,1
524,"A. punctatum",1,13.3,92.5266368487625,64.5644861051133,3
525,"A. punctatum",1,51.5,98.8989175206372,87.6966913668952,1
526,"L. philippiana",1,6.3,97.5821897275122,70.5091073341209,3
527,"L. dentata",1,5.5,91.9752019536331,63.9314137944827,3
528,"A. punctatum",1,48.2,99.54,87.8905625314881,1
529,"A. punctatum",1,13.9,92.203656135762,62.3222023497138,2
530,"A. punctatum",1,8.1,92.0235192966296,65.6844902372621,3
531,"A. punctatum",1,50.5,96.6571344406355,74.6227365662522,1
532,"L. dentata",1,10.8,87.0143802545485,63.4995951305919,3
533,"L. dentata",2,13.4,88.4422215217164,63.9808345174946,3
534,"A. punctatum",1,49.7,96.280831972872,71.0424577429265,1
535,"L. dentata",1,26.9,87.0167598399228,63.4539381814791,2
536,"L. dentata",1,7.7,26.4663623197785,18.5977209753108,3
537,"A. punctatum",1,20.8,92.7835808478473,71.7178724954028,2
538,"L. dentata",1,20.4,86.8408109477612,65.1916253002537,3
539,"L. dentata",1,11.4,89.6657906381514,65.9389544231937,3
540,"L. dentata",1,10.2,94.6392582126638,68.6738105256155,3
541,"L. dentata",1,14.6,86.2655827581298,65.4721828341987,3
542,"A. punctatum",1,20,90.1035221946806,65.5584401863792,3
543,"L. dentata",1,19.9,92.2053593492807,67.9031524486811,3
544,"L. philippiana",1,16.3,83.6334366835636,64.3147888372259,2
545,"A. punctatum",1,36.8,90.1526391139422,65.8371273916781,1
546,"G. avellana",1,50.8,95.2355473401954,61.0972387892437,1
547,"A. punctatum",1,33.9,84.4273182734196,62.0882882761378,1
548,"L. philippiana",1,7.1,23.7655560307869,12.7897323867211,3
549,"L. dentata",1,7.3,95.6734681791761,60.2079883060998,3
550,"L. dentata",1,23.8,82.2302981218177,61.2843473639333,2
551,"A. punctatum",1,10.5,88.067212835157,58.6057767973234,2
552,"L. dentata",1,25.7,92.8719329352336,59.6452028407962,2
553,"L. dentata",1,12.4,83.9770483425339,58.1006397581679,2
554,"A. punctatum",1,46.4,84.081398939852,56.7747397043028,1
555,"L. dentata",1,12.2,92.3853772756924,60.3756749837819,3
556,"L. philippiana",1,6.2,89.4982218930008,60.2710732741263,3
557,"L. dentata",2,5,85.9502946000892,55.6981688147797,3
558,"P. lingue",1,34,87.4687685010287,54.3476241017347,1
559,"L. dentata",1,7.9,86.4388875539242,54.4896403930471,2
560,"L. dentata",1,8,92.0518532283703,59.6265677085149,3
561,"P. lingue",1,49.8,88.47860398697,54.1329769429906,1
562,"L. dentata",1,20.3,86.5924453394152,51.4169600319311,2
563,"L. dentata",1,5.3,90.1369644970158,50.2343296351005,3
564,"A. punctatum",2,47,89.1061479955271,55.4791097461838,3
565,"L. dentata",2,11.2,87.7866147905845,53.6439313962839,3
566,"L. philippiana",1,8.5,91.0885879829466,57.9736481491311,3
567,"G. avellana",1,5.4,89.6768140884918,56.1632628566412,3
568,"L. philippiana",1,11.5,88.1181361437446,52.0550698509864,2
569,"A. punctatum",1,35,33.4119579430303,11.0426312430549,1
570,"L. philippiana",1,8.6,91.068319351552,54.1483402205832,3
571,"L. dentata",1,14.3,88.7767419050249,49.2772800970388,2
572,"A. punctatum",1,76.7,95.2485709047713,57.706640872967,1
573,"L. philippiana",1,12.1,93.2312737759292,52.9241716539616,3
574,"A. punctatum",1,7.2,88.1485301424725,48.23911660004,3
575,"L. philippiana",1,9.7,95.0179184290928,55.9034869272294,3
576,"L. philippiana",1,10.5,93.633923265031,54.8716440300749,3
577,"L. philippiana",1,5.3,89.8936353971248,48.9346383930201,3
578,"A. punctatum",1,27.3,98.1802477826644,56.1929963753994,2
579,"L. dentata",1,9.8,91.7098819202364,50.9916195458506,3
580,"L. dentata",1,6.7,88.4323328412428,47.8250445688913,3
581,"L. philippiana",1,8.5,99.91,63.0543129620354,3
582,"A. punctatum",1,24.1,92.1669406554942,49.3922776737106,2
583,"L. philippiana",1,7.2,90.615879514471,47.4586599387712,3
584,"Other",2,9.7,99.8,59.0575223561979,3
585,"A. punctatum",1,56.3,96.2357426585852,51.797885893048,1
586,"L. philippiana",1,11.5,99.85,54.1578684790274,3
587,"L. philippiana",1,6.8,91.4614070942865,47.9052460991484,3
588,"G. avellana",1,7.5,97.472456243163,50.0795197991431,3
589,"A. punctatum",1,23.6,98.3275613907484,47.5387111026946,2
590,"L. dentata",1,9,86.2473345576518,50.0455765863415,3
591,"G. avellana",1,29,98.0101751010769,50.5573380201922,2
592,"A. punctatum",1,11,98.5370446653166,47.2308145109382,3
593,"L. dentata",1,6.8,84.918696088899,56.6556592551907,3
594,"G. avellana",1,5.4,99.9,45.4461157216732,3
595,"A. punctatum",1,53.9,99.5468934395049,40.8781688147797,1
596,"L. philippiana",1,7.5,86.771752966557,49.9344370200205,3
597,"A. punctatum",1,31.8,93.0962831679903,44.8565214324224,1
598,"A. punctatum",1,32.1,99.8,39.832322828805,2
599,"L. philippiana",1,7.8,91.4276622856246,45.8678909948065,3
600,"G. avellana",1,7.1,92.0501210000657,45.1964401262349,3
601,"L. dentata",1,6.7,87.06818352017,46.8568933904117,3
602,"L. philippiana",1,5.4,91.8690836541598,43.3569268753137,3
603,"L. philippiana",1,8.8,82.3517720050655,39.7956881167459,3
604,"A. punctatum",1,18.6,88.8878227339145,45.6621734563573,2
605,"A. punctatum",1,11.5,86.5872104149099,42.7722293782159,2
606,"A. punctatum",1,34,91.770806452651,40.3455550813498,1
607,"L. philippiana",1,9.1,88.3258963318014,45.7942025642632,3
608,"A. punctatum",1,51.5,86.6558617271459,39.7411916085156,1
609,"L. philippiana",1,5.9,85.6682206600445,37.8599816463077,3
610,"L. philippiana",1,5.8,86.292346876444,44.2234776957343,3
611,"L. dentata",1,11.1,87.1397846171077,39.7741019229133,3
612,"P. lingue",1,42.2,87.6548718317374,35.3743180984671,1
613,"L. philippiana",1,7.8,86.0678115093241,43.4890876644897,3
614,"A. punctatum",1,21.3,86.8900831840736,40.1665718166712,2
615,"A. punctatum",2,41.9,87.1934924532978,34.8358211683307,3
616,"G. avellana",1,26.3,83.6144421747408,36.0355465553332,2
617,"L. philippiana",1,6.8,82.3345506769521,36.891662273786,3
618,"L. philippiana",1,11.2,80.6393720465459,34.4947573212577,3
619,"A. punctatum",1,20.8,79.0859834990983,34.5080812421078,2
620,"A. punctatum",1,64.5,85.9502946000892,33.0281688147797,1
621,"A. punctatum",2,20.8,85.123245985441,31.1377993550892,3
622,"L. dentata",1,11,83.6369098358664,31.6565311470731,3
623,"A. punctatum",1,18.2,80.8718895255594,31.5777284344686,3
624,"A. punctatum",1,32.8,83.456760108884,32.0286086947718,1
625,"A. punctatum",1,21.9,74.4313664054834,28.775930337611,2
626,"A. punctatum",1,24.8,72.9775705183142,32.8076873577816,2
627,"L. philippiana",1,6.3,78.056560171472,28.5891252806754,3
628,"A. punctatum",1,54.5,74.4283534892563,24.9154663649769,2
629,"L. philippiana",1,5.1,79.3908628382131,28.1664295346506,3
630,"A. punctatum",1,61.5,73.4775243554622,25.288587770215,2
631,"L. dentata",1,18,90.7242831205267,38.1476447261139,3
632,"A. punctatum",1,41.6,90.4608191798616,34.6698655027429,1
633,"L. dentata",1,16.9,92.2148351313034,36.1515535065484,3
634,"A. punctatum",1,47.1,92.1856775073372,36.6281688147797,1
635,"A. punctatum",1,8.1,93.4229965194661,36.7539205542466,3
636,"L. philippiana",1,7.3,96.0684143587798,35.8341717636014,3
637,"N. obliqua",1,106.75,97.4684324704223,39.6781688147797,1
638,"A. punctatum",2,41.2,94.9502946000892,33.0281688147797,3
639,"A. punctatum",1,31.5,92.8439488711747,31.8126315711112,1
640,"A. punctatum",1,40.4,97.9502946000892,33.0281688147797,1
641,"A. punctatum",1,12.3,89.1452495107613,34.191037302087,3
642,"A. punctatum",1,19.4,99.3637787809956,30.7835213750745,2
643,"L. philippiana",1,6,97.1776986819685,30.5391132544915,3
644,"A. punctatum",1,27.3,66.5494363076056,61.9147458114254,2
645,"L. dentata",1,13.1,94.1921321797878,27.4689791728411,2
646,"A. punctatum",1,9.4,97.3100629823872,28.6462970100764,3
647,"L. philippiana",1,6.7,93.7418896290533,26.0809556008193,3
648,"A. punctatum",1,33.4,97.0044515391015,24.3967844073437,2
649,"L. philippiana",1,8.9,92.9004956496078,25.4782363316512,3
650,"L. philippiana",1,18.5,99.2252311732045,22.1864763598239,2
651,"G. avellana",1,12.9,93.8648233462154,19.7087552188814,2
652,"A. punctatum",1,59.8,95.1868443575689,22.6441169569876,1
653,"A. punctatum",1,7.7,93.2943312220636,20.6379264036048,3
654,"G. avellana",1,25.9,99.3766949888933,17.8491201705611,2
655,"N. obliqua",1,130.6,96.3933273498579,20.4544570300636,1
656,"A. punctatum",1,35.7,92.1969935871544,15.9985340241252,1
657,"A. punctatum",1,73.4,93.336758568806,13.6616695037473,1
658,"A. punctatum",1,15.6,97.7395219801687,14.2720965215997,3
659,"N. obliqua",1,71.4,95.6924492105086,11.5210679277553,1
660,"A. punctatum",1,24.2,98.6778555408794,9.40754665304492,2
661,"A. punctatum",1,58.7,96.3176823669718,7.549869988913,1
662,"A. punctatum",1,41.2,100,1.5,1
663,"L. philippiana",1,7.5,84.1622383963278,1.91937706765529,3
664,"L. philippiana",1,6.1,83.8365922475341,2.04765249700879,3
665,"A. punctatum",1,9.4,85.355620063986,3.69746256144592,3
666,"N. obliqua",1,109.4,83.4379805942496,4.26549325085376,1
667,"A. punctatum",2,68,82.0956329654341,4.66311473343925,2
668,"A. punctatum",1,21.2,85.2899670723338,6.46782829470058,2
669,"L. philippiana",1,7.1,88.348436632047,12.9524750693761,3
670,"L. philippiana",1,6,72.0424690701663,10.3445424918984,3
671,"A. punctatum",1,50.1,89.6103607676728,9.59944139926131,1
672,"N. obliqua",2,122.3,75.611548295605,9.5860697335432,3
673,"A. punctatum",1,20.2,73.1675163724684,11.2706885744638,3
674,"A. punctatum",1,14.4,71.6168343595244,12.9984936673243,3
675,"A. punctatum",1,81,77.682722985147,13.3567050320176,1
676,"P. lingue",1,60.85,72.666472562009,20.4821784504267,1
677,"A. punctatum",1,49.2,69.5876455928492,21.6681493880142,1
678,"A. punctatum",2,26.5,67.9085561413742,19.5944485847111,2
679,"P. lingue",1,65.8,66.6895384201196,18.2353214878238,1
680,"A. punctatum",1,18.8,64.6881968256529,23.8087355000049,2
681,"L. dentata",2,76.1,64.8132189187335,20.9010937162877,3
682,"L. dentata",1,11.1,79.0334378980988,26.0770334109663,3
683,"G. avellana",1,9.1,78.9603025279369,26.00883357496,3
684,"G. avellana",1,9.5,78.887167157775,25.9406337389538,3
685,"N. obliqua",2,92.4,75.8486755466813,28.4352116798013,2
686,"G. avellana",1,5.8,80.2171709288921,27.4748875794342,3
687,"A. punctatum",2,7.2,73.5978873600927,25.4483148722244,3
688,"L. philippiana",1,6.9,87.1578473884111,25.9293312729538,3
689,"L. philippiana",1,7.1,87.4334611852332,20.6333084873628,3
690,"G. avellana",1,9.4,87.422802047427,25.4883876927722,3
691,"L. philippiana",1,5,86.2631387428579,24.6028711568657,3
692,"L. philippiana",1,14.9,88.7552166189596,20.7005357256546,3
693,"L. philippiana",1,8.6,85.2990901643744,20.7957315580629,3
694,"G. avellana",1,8,91.5610042557191,20.74609542796,3
695,"L. philippiana",1,7.1,90.803096729682,19.266594634777,3
696,"G. avellana",1,6,90.8447543159133,22.8262362942785,3
697,"A. punctatum",1,33,90.703078704888,21.737866963851,1
698,"A. punctatum",1,51.2,91.8778605275229,12.1211420978792,1
699,"P. lingue",1,7,89.9809225885453,26.3609320898223,3
700,"A. punctatum",1,77.45,88.8913453891704,28.4993477478744,1
701,"L. dentata",1,26,87.8388072521685,31.9420448693414,2
702,"A. punctatum",1,48.9,91.9834710170305,29.1003960833105,1
703,"L. philippiana",1,7.3,75.0473296010883,39.1222346840766,3
704,"A. punctatum",1,5.8,19.3583968710331,40.714358108456,3
705,"A. punctatum",1,6.2,19.7962970032577,40.4415082758592,3
706,"A. punctatum",2,25.5,30.1982941692456,84.1391635642665,3
707,"L. philippiana",1,6.8,38.4422423873419,87.0467924160121,3
708,"L. sempervirens",1,11.6,88.5680294597743,93.8903133022433,3
709,"L. dentata",1,5,92.2180529513669,67.5682763886854,3
710,"A. punctatum",2,11.6,96.8528703389685,52.6739717021234,3
711,"L. philippiana",1,11.2,76.556914238971,55.1018823014015,3
712,"A. punctatum",1,5.5,67.0513993915669,5.88782968996105,3
713,"L. philippiana",1,5.5,69.4169287836007,9.89502506083169,3
714,"Other",1,5.8,92.6243794650672,21.7647760029011,3
720,"A. punctatum",1,39,65,51,1
721,"A. punctatum",1,22.9,8.49,48.62,2
